codigo_siniestro,codigo_persona,tipo_persona,gravedad,sexo,edad,vehiculo
A-2021-12-211,P-2021-12-211-1-1,CONDUCTOR,ILESO,MASCULINO,,ÓMNIBUS
A-2021-12-211,P-2021-12-211-1-2,PEATÓN,FALLECIDO,FEMENINO,56,ÓMNIBUS
A-2021-12-212,P-2021-12-212-1-1,CONDUCTOR,ILESO,MASCULINO,42,AUTOMÓVIL
A-2021-12-212,P-2021-12-212-1-2,PEATÓN,FALLECIDO,MASCULINO,,AUTOMÓVIL
A-2021-12-213,P-2021-12-213-1-1,CONDUCTOR,LESIONADO,MASCULINO,62,TRIMOTO PASAJERO
A-2021-12-213,P-2021-12-213-1-2,PASAJERO,FALLECIDO,FEMENINO,,TRIMOTO PASAJERO
A-2021-12-213,P-2021-12-213-2-1,CONDUCTOR,ILESO,MASCULINO,,MINIBUS
A-2021-12-214,P-2021-12-214-1-1,CONDUCTOR,FALLECIDO,MASCULINO,,MOTOCICLETA
A-2021-12-214,P-2021-12-214-2-1,CONDUCTOR,ILESO,MASCULINO,57,CAMIÓN
A-2021-12-215,P-2021-12-215-1-1,CONDUCTOR,ILESO,MASCULINO,34,AUTOMÓVIL
A-2021-12-215,P-2021-12-215-2-1,CONDUCTOR,FALLECIDO,MASCULINO,,CAMIONETA PICK UP
A-2021-12-216,P-2021-12-216-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2021-12-216,P-2021-12-216-1-2,PASAJERO,FALLECIDO,MASCULINO,53,VEHICULO NO IDENTIFICADO
A-2021-12-217,P-2021-12-217-1-1,CONDUCTOR,ILESO,MASCULINO,46,CAMIONETA RURAL
A-2021-12-217,P-2021-12-217-1-2,PASAJERO,FALLECIDO,FEMENINO,,CAMIONETA RURAL
A-2021-12-217,P-2021-12-217-1-3,PASAJERO,LESIONADO,FEMENINO,,CAMIONETA RURAL
A-2021-12-217,P-2021-12-217-1-4,PASAJERO,LESIONADO,FEMENINO,,CAMIONETA RURAL
A-2021-12-217,P-2021-12-217-1-5,PASAJERO,LESIONADO,FEMENINO,,CAMIONETA RURAL
A-2021-12-217,P-2021-12-217-1-6,PASAJERO,LESIONADO,FEMENINO,,CAMIONETA RURAL
A-2021-12-218,P-2021-12-218-1-1,CONDUCTOR,ILESO,MASCULINO,22,TRIMOTO PASAJERO
